"categoria","centroide_lat","centroide_lon","fuente","id","nombre","nombre_completo","provincia_id","provincia_interseccion","provincia_nombre"
"Partido",-37.9646159068483,-60.2482821323384,"IGN","06014","Adolfo Gonzales Chaves","Partido de Adolfo Gonzales Chaves","06",0.0125815079288771,"Buenos Aires"
"Departamento",-31.2902983724746,-58.2378696898985,"IGN","30015","Concordia","Departamento Concordia","30",0.0414681664516468,"Entre Ríos"
"Departamento",-30.9924267798293,-58.8918600477175,"IGN","30035","Federal","Departamento Federal","30",0.0657426173552007,"Entre Ríos"
"Departamento",-33.0223490410459,-58.7858051710614,"IGN","30056","Gualeguaychú","Departamento Gualeguaychú","30",0.0970757725759829,"Entre Ríos"
"Departamento",-33.6249961546235,-58.9338958542555,"IGN","30063","Islas del Ibicuy","Departamento Islas del Ibicuy","30",0.0641372927357608,"Entre Ríos"
"Departamento",-32.7839424597941,-60.2180700308372,"IGN","30105","Victoria","Departamento Victoria","30",0.08535097955251,"Entre Ríos"
"Departamento",-32.228040549074,-60.5239335893593,"IGN","30021","Diamante","Departamento Diamante","30",0.03422446464709,"Entre Ríos"
"Departamento",-32.4477599400377,-58.5842252100111,"IGN","30098","Uruguay","Departamento Uruguay","30",0.0656693954597871,"Entre Ríos"
"Departamento",-31.6952294494901,-60.0411744815271,"IGN","30084","Paraná","Departamento Paraná","30",0.0648976911507347,"Entre Ríos"
"Partido",-35.676806451923,-59.7026607444531,"IGN","06707","Saladillo","Partido de Saladillo","06",0.0087272407383685,"Buenos Aires"
"Partido",-36.015826657022,-59.1764609497072,"IGN","06455","Las Flores","Partido de Las Flores","06",0.0108187309918714,"Buenos Aires"
"Partido",-34.1928173894529,-60.7880234647739,"IGN","06686","Rojas","Partido de Rojas","06",0.00652704312649808,"Buenos Aires"
"Partido",-34.3286828340822,-58.7711786108511,"IGN","06252","Escobar","Partido de Escobar","06",0.000955034967498567,"Buenos Aires"
"Partido",-34.511853162718,-58.7776345982883,"IGN","06412","José C. Paz","Partido de José C. Paz","06",0.000159523784368258,"Buenos Aires"
"Partido",-38.5841892126256,-62.1694174494415,"IGN","06056","Bahía Blanca","Partido de Bahía Blanca","06",0.0076287302296,"Buenos Aires"
"Partido",-34.2207575658705,-59.5194434817548,"IGN","06735","San Antonio de Areco","Partido de San Antonio de Areco","06",0.00273098396262856,"Buenos Aires"
"Partido",-36.886933208215,-57.5861191040468,"IGN","06511","Maipú","Partido de Maipú","06",0.00852590817145907,"Buenos Aires"
"Partido",-38.2026277127362,-58.0718053725136,"IGN","06280","General Alvarado","Partido de General Alvarado","06",0.00542289153650628,"Buenos Aires"
"Partido",-37.9656831422541,-57.743028347627,"IGN","06357","General Pueyrredón","Partido de General Pueyrredón","06",0.00485616159292092,"Buenos Aires"
"Partido",-37.4986405981654,-57.6432660560016,"IGN","06518","Mar Chiquita","Partido de Mar Chiquita","06",0.0101928457530162,"Buenos Aires"
"Partido",-37.3670719558785,-57.0633978822493,"IGN","06868","Villa Gesell","Partido de Villa Gesell","06",0.000541777106644209,"Buenos Aires"
"Partido",-37.1110742904936,-56.8702834122236,"IGN","06644","Pinamar","Partido de Pinamar","06",0.0002156207651597,"Buenos Aires"
"Partido",-36.650750377237,-56.9410029895247,"IGN","06336","General Lavalle","Partido de General Lavalle","06",0.00882829392925035,"Buenos Aires"
"Partido",-36.6971678213727,-56.7159402751909,"IGN","06420","La Costa","Partido de La Costa","06",0.000764027583219186,"Buenos Aires"
"Partido",-35.1851030703307,-57.6861279818118,"IGN","06505","Magdalena","Partido de Magdalena","06",0.00592850064090218,"Buenos Aires"
"Departamento",-29.9995030631702,-58.7949968561603,"IGN","18175","Sauce","Departamento Sauce","18",0.0282988986710765,"Corrientes"
"Partido",-34.52653142362,-58.5044865130649,"IGN","06861","Vicente López","Partido de Vicente López","06",0.000109553053877661,"Buenos Aires"
"Departamento",-25.4471786730855,-65.5805831392571,"IGN","66098","La Viña","Departamento La Viña","66",0.0130169439826571,"Salta"
"Partido",-36.5721944489319,-58.9441413666159,"IGN","06672","Rauch","Partido de Rauch","06",0.0140638609551262,"Buenos Aires"
"Departamento",-25.4252109663753,-64.5880714654829,"IGN","66112","Metán","Departamento Metán","66",0.0341706113610445,"Salta"
"Departamento",-25.5643165283563,-66.4548727525442,"IGN","66119","Molinos","Departamento Molinos","66",0.0241553887647224,"Salta"
"Departamento",-27.2556537688374,-60.6799749172166,"IGN","22112","O'Higgins","Departamento O'Higgins","22",0.0158188618965095,"Chaco"
"Partido",-34.6106807864965,-58.8108985084565,"IGN","06560","Moreno","Partido de Moreno","06",0.000592812574517563,"Buenos Aires"
"Partido",-34.7703481015398,-58.6254456945004,"IGN","06427","La Matanza","Partido de La Matanza","06",0.00104421888100573,"Buenos Aires"
"Partido",-37.3364293166464,-59.1819827896233,"IGN","06791","Tandil","Partido de Tandil","06",0.0159890350191502,"Buenos Aires"
"Partido",-37.534856250067,-61.8890922422146,"IGN","06203","Coronel Suárez","Partido de Coronel Suárez","06",0.0197588558596591,"Buenos Aires"
