id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
06434;Lanús;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;6;16
54028;Capital;54;Misiones;2024;Dengue;5;De 5 a 9 años;7;9
66112;Metán;66;Salta;2024;Dengue;7;De 15 a 19 años;15;5
999;desconocido;99;desconocida;2024;Dengue;10;De 35 a 44 años;15;37
22154;Sargento Cabral;22;Chaco;2024;Dengue;10;De 35 a 44 años;4;14
14014;Capital;14;Córdoba;2024;Dengue;5;De 5 a 9 años;15;144
06260;Esteban Echeverría;06;Buenos Aires;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);9;1
38021;Dr. Manuel Belgrano;38;Jujuy;2024;Dengue;9;De 25 a 34 años;11;49
06749;San Fernando;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;7;8
14014;Capital;14;Córdoba;2024;Dengue;8;De 20 a 24 años;15;97
86049;Capital;86;Santiago del Estero;2024;Dengue;9;De 25 a 34 años;10;85
06412;José C. Paz;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;8;36
86035;Banda;86;Santiago del Estero;2024;Dengue;7;De 15 a 19 años;12;45
54042;Eldorado;54;Misiones;2024;Dengue;7;De 15 a 19 años;8;41
38014;El Carmen;38;Jujuy;2024;Dengue;7;De 15 a 19 años;11;10
30042;Feliciano;30;Entre Ríos;2024;Dengue;9;De 25 a 34 años;13;5
54070;Leandro N. Alem;54;Misiones;2024;Dengue;10;De 35 a 44 años;8;3
999;desconocido;99;desconocida;2024;Dengue;10;De 35 a 44 años;11;35
74049;Junín;74;San Luis;2024;Dengue;8;De 20 a 24 años;13;2
90014;Cruz Alta;90;Tucumán;2024;Dengue;10;De 35 a 44 años;5;10
02001;COMUNA 1;02;CABA;2024;Dengue;11;De 45 a 65 años;6;49
14119;Río Segundo;14;Córdoba;2024;Dengue;11;De 45 a 65 años;15;155
02011;COMUNA 11;02;CABA;2024;Dengue;9;De 25 a 34 años;10;14
06840;Tres de Febrero;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;6;5
14119;Río Segundo;14;Córdoba;2024;Dengue;5;De 5 a 9 años;11;31
999;desconocido;90;Tucumán;2024;Dengue;4;De 2 a 4 años;13;5
06749;San Fernando;06;Buenos Aires;2024;Dengue;4;De 2 a 4 años;14;6
18021;Capital;18;Corrientes;2024;Dengue;6;De 10 a 14 años;7;9
10049;Capital;10;Catamarca;2024;Dengue;8;De 20 a 24 años;3;1
82077;9 de Julio;82;Santa Fe;2024;Dengue;11;De 45 a 65 años;12;20
54063;Iguazú;54;Misiones;2024;Dengue;11;De 45 a 65 años;13;1
14182;Unión;14;Córdoba;2024;Dengue;11;De 45 a 65 años;6;8
10112;Valle Viejo;10;Catamarca;2024;Dengue;9;De 25 a 34 años;14;6
22126;1a de Mayo;22;Chaco;2024;Dengue;9;De 25 a 34 años;11;1
22154;Sargento Cabral;22;Chaco;2024;Dengue;6;De 10 a 14 años;11;3
82105;San Jerónimo;82;Santa Fe;2024;Dengue;11;De 45 a 65 años;4;3
06784;Suipacha;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;12;1
34049;Pilcomayo;34;Formosa;2024;Dengue;8;De 20 a 24 años;15;1
22126;1a de Mayo;22;Chaco;2024;Dengue;6;De 10 a 14 años;3;6
22112;O'Higgins;22;Chaco;2024;Dengue;11;De 45 a 65 años;13;1
94007;Río Grande;94;Tierra del Fuego;2024;Dengue;6;De 10 a 14 años;9;1
18133;San Cosme;18;Corrientes;2024;Dengue;12;Mayores de 65 años;10;1
34028;Matacos;34;Formosa;2024;Dengue;10;De 35 a 44 años;7;1
999;desconocido;02;CABA;2024;Dengue;6;De 10 a 14 años;7;1
34014;Formosa;34;Formosa;2024;Dengue;4;De 2 a 4 años;7;1
14126;San Alberto;14;Córdoba;2024;Dengue;7;De 15 a 19 años;10;2
46042;Chilecito;46;La Rioja;2024;Dengue;11;De 45 a 65 años;9;1
06210;Chacabuco;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;9;1
06784;Suipacha;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;15;2
66028;Capital;66;Salta;2024;Dengue;10;De 35 a 44 años;11;110
54070;Leandro N. Alem;54;Misiones;2024;Dengue;7;De 15 a 19 años;14;1
94007;Río Grande;94;Tierra del Fuego;2024;Dengue;8;De 20 a 24 años;8;1
90091;Simoca;90;Tucumán;2024;Dengue;9;De 25 a 34 años;6;1
14014;Capital;14;Córdoba;2024;Dengue;8;De 20 a 24 años;11;308
66007;Anta;66;Salta;2024;Dengue;4;De 2 a 4 años;5;2
66007;Anta;66;Salta;2024;Dengue;10;De 35 a 44 años;10;49
66021;Cafayate;66;Salta;2024;Dengue;12;Mayores de 65 años;6;2
90070;Monteros;90;Tucumán;2024;Dengue;9;De 25 a 34 años;12;72
82084;Rosario;82;Santa Fe;2024;Dengue;4;De 2 a 4 años;15;41
18112;Monte Caseros;18;Corrientes;2024;Dengue;11;De 45 a 65 años;11;9
82056;Iriondo;82;Santa Fe;2024;Dengue;12;Mayores de 65 años;10;7
18112;Monte Caseros;18;Corrientes;2024;Dengue;12;Mayores de 65 años;12;7
14161;Tercero Arriba;14;Córdoba;2024;Dengue;12;Mayores de 65 años;14;10
50028;Guaymallén;50;Mendoza;2024;Dengue;9;De 25 a 34 años;12;38
86049;Capital;86;Santiago del Estero;2024;Dengue;6;De 10 a 14 años;9;56
54063;Iguazú;54;Misiones;2024;Dengue;12;Mayores de 65 años;4;8
82070;Las Colonias;82;Santa Fe;2024;Dengue;11;De 45 a 65 años;9;65
22105;9 de Julio;22;Chaco;2024;Dengue;9;De 25 a 34 años;4;28
06412;José C. Paz;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;11;126
66007;Anta;66;Salta;2024;Dengue;11;De 45 a 65 años;8;55
70042;Chimbas;70;San Juan;2024;Dengue;4;De 2 a 4 años;13;1
22140;San Fernando;22;Chaco;2024;Dengue;7;De 15 a 19 años;2;69
90105;Tafí Viejo;90;Tucumán;2024;Dengue;7;De 15 a 19 años;12;20
02001;COMUNA 1;02;CABA;2024;Dengue;9;De 25 a 34 años;2;10
06412;José C. Paz;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;14;103
34035;Patiño;34;Formosa;2024;Dengue;11;De 45 a 65 años;15;4
86035;Banda;86;Santiago del Estero;2024;Dengue;9;De 25 a 34 años;11;105
50007;Capital;50;Mendoza;2024;Dengue;10;De 35 a 44 años;11;8
02004;COMUNA 4;02;CABA;2024;Dengue;10;De 35 a 44 años;14;20
30021;Diamante;30;Entre Ríos;2024;Dengue;8;De 20 a 24 años;12;4
06028;Almirante Brown;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;12;25
06441;La Plata;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;13;88
06434;Lanús;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;15;5
94007;Río Grande;94;Tierra del Fuego;2024;Dengue;11;De 45 a 65 años;6;2
10049;Capital;10;Catamarca;2024;Dengue;8;De 20 a 24 años;5;32
02012;COMUNA 12;02;CABA;2024;Dengue;11;De 45 a 65 años;8;12
06408;Hurlingham;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;5;2
82091;San Cristóbal;82;Santa Fe;2024;Dengue;7;De 15 a 19 años;7;14
30113;Villaguay;30;Entre Ríos;2024;Dengue;7;De 15 a 19 años;12;32
82056;Iriondo;82;Santa Fe;2024;Dengue;7;De 15 a 19 años;15;8
82021;Castellanos;82;Santa Fe;2024;Dengue;4;De 2 a 4 años;9;4
54056;Guaraní;54;Misiones;2024;Dengue;10;De 35 a 44 años;12;2
90070;Monteros;90;Tucumán;2024;Dengue;7;De 15 a 19 años;11;5
30084;Paraná;30;Entre Ríos;2024;Dengue;8;De 20 a 24 años;7;13
06412;José C. Paz;06;Buenos Aires;2024;Dengue;4;De 2 a 4 años;14;5
06658;Quilmes;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;3;5
14133;San Javier;14;Córdoba;2024;Dengue;6;De 10 a 14 años;14;13
06371;General San Martín;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;5;4
82042;General López;82;Santa Fe;2024;Dengue;9;De 25 a 34 años;15;3
66007;Anta;66;Salta;2024;Dengue;6;De 10 a 14 años;6;4
30015;Concordia;30;Entre Ríos;2024;Dengue;10;De 35 a 44 años;3;2
